,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
10,16883,00AHGE,Addiscombe,00AH,Croydon,69.4,2.3,13.7,5.1,15.3,0.7,64.9,76.8,81.4,79.1,18.6815139489427,71.6184860510573,9.7,43.6,34.5,10.2
11,15885,00BBGM,Green Sainteet East,00BB,Newham,70.4,2.4,12.8,9.5,20.3,0.6,96.4,81.9,83.0,82.45,22.2599937047529,72.0400062952471,5.7,89.9,62.2,33.2
12,14160,00BJGN,Shaftesbury,00BJ,Wandsworth,84.9,2.4,22.6,2.8,10.9,0.6,51.0,80.8,84.9,82.85,12.7189265536723,79.5810734463277,7.7,18.8,29.0,5.7
13,15198,00BJGF,Graveney,00BJ,Wandsworth,105.1,2.6,17.8,5.2,14.7,0.6,63.8,76.9,84.0,80.45,17.8707724700618,73.3292275299382,8.8,46.4,42.4,14.4
14,15214,00AZGG,Catford South,00AZ,Lewisham,57.0,3.0,12.6,6.5,17.3,0.9,68.9,77.4,81.4,79.4,21.4670698041278,67.2329301958722,11.3,56.2,32.2,7.1
15,11545,00ABFZ,Becontree,00AB,Barking and Dagenham,91.7,3.0,29.4,10.2,28.0,0.9,67.4,75.3,81.0,78.15,25.4395842355998,65.0604157644002,9.5,41.2,30.1,10.5
16,12034,00BKGF,Harrow Road,00BK,Westminster,95.3,3.0,43.4,10.4,18.4,0.4,77.5,77.1,92.1,84.6,18.8964600299152,72.6035399700848,8.5,49.0,48.2,17.9
17,13780,00BEGU,South Bermondsey,00BE,Southwark,107.3,3.0,52.3,8.7,21.9,0.5,60.5,77.2,81.1,79.15,20.5297532656023,72.2702467343977,7.2,44.8,41.1,14.6
18,9824,00AFHA,Shortlands,00AF,Bromley,26.6,3.1,6.2,1.7,12.1,1.3,48.2,83.0,87.9,85.45,18.5260586319218,61.7739413680782,19.7,15.6,16.0,3.6
19,10996,00ANGE,Fulham Broadway,00AN,Hammersmith and Fulham,111.6,3.1,36.2,4.6,14.8,0.5,50.4,76.2,79.4,77.80000000000001,13.5049108766824,76.1950891233176,10.3,29.9,43.9,15.6
20,15113,00BBGN,Green Sainteet West,00BB,Newham,85.5,3.2,13.5,9.7,21.6,0.7,86.8,80.7,86.6,83.65,21.0150201813009,71.5849798186991,7.4,89.3,61.1,32.7
21,11516,00BCGC,Church End,00BC,Redbridge,89.3,3.3,8.2,3.7,12.3,1.1,67.5,81.4,84.6,83.0,18.2354984369573,69.8645015630427,11.9,26.5,22.1,5.8
22,11394,00AQGT,Wealdstone,00AQ,Harrow,85.8,3.4,15.1,6.4,20.9,1.0,94.0,75.5,81.4,78.45,23.4246094435668,65.5753905564332,11.0,62.6,46.9,18.3
23,14160,00ANGB,Askew,00AN,Hammersmith and Fulham,73.1,3.6,34.8,6.7,13.7,0.5,50.8,74.6,78.2,76.4,17.2175141242938,74.9824858757062,7.8,37.0,42.5,14.8
24,14607,00AHGT,Purley,00AH,Croydon,81.7,3.8,7.6,4.4,12.9,1.2,79.6,79.6,83.6,81.6,19.4632710344355,65.53672896556449,15.0,31.6,23.1,5.0
